Rank  Idx_A  Idx_B  Name_A              Name_B              Score
---------------------------------------------------------------------------
   1     30     39  3000.png            3900.png            0.9517
   2     16     30  1600.png            3000.png            0.9465
   3     32     39  3200.png            3900.png            0.9443
   4      5     17  0500.png            1700.png            0.9374
   5     23     36  2300.png            3600.png            0.9328
   6     17     21  1700.png            2100.png            0.9310
   7      4     40  0400.png            4000.png            0.9267
   8     16     25  1600.png            2500.png            0.9253
   9     22     32  2200.png            3200.png            0.9142
  10     21     25  2100.png            2500.png            0.9061
  11     17     38  1700.png            3800.png            0.8943
  12      3     38  0300.png            3800.png            0.8856
  13      1     13  0100.png            1300.png            0.8583
  14      0     25  0000.png            2500.png            0.8482
  15      6     33  0600.png            3300.png            0.8475
  16     15     30  1500.png            3000.png            0.8175
  17      8      9  0800.png            0900.png            0.8010
  18     25     41  2500.png            4100.png            0.7449
  19     10     20  1000.png            2000.png            0.7133
  20     44     47  4400.png            4700.png            0.6941
  21      0     10  0000.png            1000.png            0.6760
  22     10     40  1000.png            4000.png            0.6663
  23     33     41  3300.png            4100.png            0.6009
  24     10     30  1000.png            3000.png            0.5482
  25     34     44  3400.png            4400.png            0.5270
